Sigla,Nome por extenso
ASS-CIN,Assessoria de Controle Interno
ASS-GAB,Assessoria de Gabinete
ASS-JUR,Assessoria Jurídica
ASS-PES,Secretaria de Pessoal
CPPI,Não identificada no organograma
CRD-CCI,Coordenadoria do Centro de Convivência do Idoso
DIV-ADF,Divisão Administrativa e Financeira
DIV-PRE,Divisão Previdenciária
DIV-TIN,Divisão de Tecnologia da Informação
FUN-PRE,Fundo Municipal de Previdência
GAB-ADJ,Gabinete da Superintendência Adjunta
GAB-SUP,Gabinete da Superintendência
SEC-ADG,Seção de Administração Geral
SEC-BEN,Seção de Benefícios
SEC-CCP,"Seção de Compras, Contratos e Patrimônio"
SEC-COF,"Seção de Contabilidade, Orçamento e Finanças"
SEC-CPV,Seção de Compensação Previdenciária
SEC-DSV,Seção de Desenvolvimento
SEC-FLB,Seção de Folha de Benefícios
SEC-SPT,Seção de Suporte
SET-ALM,Setor de Almoxarifado
SET-ANL,Setor de Análise de Benefícios
SET-ARQ,Setor de Arquivo
SET-CAL,Não identificada exatamente no organograma
SET-CNT,Setor de Contabilidade
SET-CPR,Setor de Compras
SET-CSS,Setor de Concessão (no organograma consta SET-CCS)
SET-FIN,Setor de Finanças
SET-GPE,Setor de Gestão de Pessoal
SET-PAT,Setor de Patrimônio
SET-REC,Setor de Recadastramento
SET-SVG,Setor de Serviços Gerais
SET-TRA,Setor de Transportes
SOM-IPM,Ouvidoria
