tombamento,Responsavel,equipamento,Número de série,Ctegoria,fornecedor,Tipo,Modelo,departamento
IPMJP1434,,Computador,A84285,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1437,,Computador,A84274,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1441,,Computador,A84284,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1449,,Computador,A84282,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1450,,Computador,A84269,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1450,,Computador,A84280,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1452,,Computador,A84279,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1453,,Computador,A84273,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1454,,Computador,A84277,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1455,,Computador,A84267,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1456,,Computador,A84286,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1457,,Computador,,Informática / Microcomputadores,ARQUIMEDES,Desktop,ARQ-A320,
IPMJP1458,,Computador,A84287,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1459,,Computador,A84271,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1461,,Computador,A84266,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1462,,Computador,A84275,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1463,,Computador,A84290,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1464,,Computador,A84286,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1465,,Computador,A84288,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1466,,Computador,A84278,Informática / Microcomputadores,Arquimedes Automacao e Informatica Ltda,Desktop,Arquimedes Corporativo-A,
IPMJP1497,,Computador,,Informática / Microcomputadores,ARQUIMEDES,Desktop,ARQ-A320,
IPMJP661917,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
IPMJP661962,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
IPMJP662011,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
IPMJP663094,,Computador,1030150040173,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
IPMJP6631519,,Computador,1030150030054,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
IPMJP679210,,Computador,1030151020052,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
IPMJP679263,,Computador,1030151010025,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
IPMJP679415,,Computador,1030151030016,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP661693,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661694,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661699,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661706,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661717,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661719,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661720,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661745,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661855,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661856,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661898,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661907,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661909,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP661945,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP662008,,Computador, Ltd.,Informática / Microcomputadores,Gigabyte Technology Co.,Desktop,Desktop,
PMJP663092,,Computador,1030150040041,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP663093,,Computador,1030150040025,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP663095,,Computador,1030150040163,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP663517,,Computador,1030150030138,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP663547,,Computador,1030150040093,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP663548,,Computador,1030150050159,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679169,,Computador,1030151010062,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679180,,Computador,1030151010122,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679185,,Computador,1030151010216,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679186,,Computador,1030151010156,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679188,,Computador,1030151020076,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679194,,Computador,1030151010008,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679197,,Computador,1030151010005,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679198,,Computador,1030151010081,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679200,,Computador,1030151010027,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679248,,Computador,1030151010091,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679403,,Computador,1030151020044,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679405,,Computador,1030151010079,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679407,,Computador,1030151010128,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679411,,Computador,1030151030038,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679412,,Computador,1030151010048,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679429,,Computador,1030151020117,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679430,,Computador,1030151020126,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679431,,Computador,1030151010145,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679432,,Computador,1030151020026,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679433,,Computador,1030151020041,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679436,,Computador,1030151020001,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679440,,Computador,1030151020084,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679444,,Computador,1030151010178,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679449,,Computador,1030151010089,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679450,,Computador,1030151010064,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679451,,Computador,1030151010015,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679452,,Computador,1030151010098,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679457,,Computador,1030151020104,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP679479,,Computador,1030151020057,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP680019,,Computador,1030151040169,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
PMJP680021,,Computador,1030151040099,Informática / Microcomputadores,Daten Tecnologia Ltda,Desktop,DC3E-U,
